match_id,team_id,fouls,injuries,corners,offsides,shots_total,shots_on_target,shots_off_target,shots_blocked,possessionpercent,yellowcards,yellowredcards,redcards,substitutions,goal_kick,goal_attempts,free_kick,throw_in,ball_safe,goals,penalties,attacks,dangerous_attacks
1272391,2263,15,1,3,1,9,5,4,NaN,52,2,1,0,3,9,9,17,14,40,2,0,32,28
1272391,2265,15,0,4,2,11,6,5,NaN,48,3,1,0,2,7,11,16,10,40,3,0,31,29
1272394,2258,NaN,0,3,0,0,NaN,NaN,NaN,0,0,0,0,3,0,0,0,0,54,0,0,27,19
1272394,2260,NaN,1,2,0,0,NaN,NaN,NaN,0,1,0,0,2,0,0,0,0,41,2,0,32,27
1272396,2256,NaN,0,8,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,46,3,0,28,26
1272396,2262,NaN,1,1,0,0,NaN,NaN,NaN,0,1,1,1,3,0,0,0,0,60,0,0,29,11
1272397,132,NaN,1,5,0,0,NaN,NaN,NaN,0,0,0,0,2,0,0,0,0,44,5,1,24,32
1272397,105,NaN,1,3,0,0,NaN,NaN,NaN,0,3,1,1,3,0,0,0,0,39,2,2,31,30
1272398,2260,11,1,7,4,13,6,5,2,48,0,0,0,3,9,11,12,26,43,3,1,19,38
1272398,132,10,2,1,2,8,2,5,1,52,1,0,0,3,7,7,15,15,51,1,0,25,24
1272399,2259,NaN,NaN,11,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,23,3,0,29,48
1272399,134,NaN,NaN,1,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,30,1,0,13,57
1272400,2262,NaN,1,11,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,35,0,0,31,34
1272400,2261,NaN,2,3,0,0,NaN,NaN,NaN,0,0,0,0,3,0,0,0,0,36,1,1,26,38
1272408,2255,14,1,5,0,11,6,5,NaN,39,4,0,0,3,9,11,11,22,40,2,0,32,28
1272408,2264,10,0,7,1,13,7,6,NaN,61,1,0,0,3,9,13,14,27,30,4,2,24,46
1272409,2258,NaN,NaN,2,0,0,NaN,NaN,NaN,0,1,0,0,1,0,0,0,0,56,0,0,24,20
1272409,86,NaN,NaN,4,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,42,6,0,21,37
1272410,2266,17,1,6,0,13,6,7,NaN,56,0,0,0,3,5,13,20,20,45,2,1,26,29
1272410,2256,19,0,3,1,1,1,0,NaN,44,3,0,0,3,11,1,17,15,43,1,0,31,26
1272411,105,12,3,1,1,8,5,2,1,56,0,0,0,3,11,7,18,19,44,3,0,32,24
1272411,2805,17,0,4,1,15,4,7,4,44,1,0,0,3,4,11,13,20,47,1,0,24,29
